Name,Charity,Registered Number,Date
T2750816392423933949,St. Joseph's Girls National School,20112073,2015-12-07
T405319878380762089,Irish Scouting Fellowship,20080846,2013-04-21
T7517478746399573624,MILLTOWNPASS COMMUNITY ACTION GROUP,20143169,2003-06-09
T6577274472267930453,Enable Ireland Sandymount School,20139711,2015-11-01
T7622037047755442057,Legionaries Of Christ,20008420,2012-07-01
T5714624291395786145,Rooskey Development and Social Inclusion Group Ltd,20061364,2015-12-22
T7753277654167378074,Sn Muine Mhea,20122416,2011-11-01
T8356678326456944712,Sn N Breandain,20122263,2015-11-01
T210689749891446491,Cloonacool N S,20134105,2015-12-01
T8377847416222667800,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2011-12-12
T5079234503327251957,Vincentian Fathers,20016678,2016-10-18
T6846291584461503662,Ballintrillick Environmental Group Company Limited by Guarantee,20035112,2013-01-31
T7473992992516782681,St. Joseph's National School (Miltown Malbay),20102302,2015-12-09
T1521314478787057786,Irish Radiation Research Society,20035372,2013-09-03
T7527574400670838112,Enactus Ireland,20080075,2015-04-01
T6801904171677018439,A Sense of Cork Mid-Summer Arts Festival Limited,20075514,2012-01-23
T5326650656174557360,Daisyhouse Housing Association Ltd,20024185,2018-08-21
T7409917970600227744,Leave No Trace (Ireland),20082178,2018-07-02
T2904568930637461225,Enactus Ireland,20080075,2014-10-08
T5654601317736770003,Ballinlough Youth Café Limited,20078829,2010-08-19
T2616699730349798295,Clonmel Youth Training Enterprises Ltd,20037017,2012-04-17
T6656093138573472260,Cloonbonnif N S,20133252,2015-12-01
T4788502373447236606,Offaly County Childcare Committee Limited,20049782,2015-02-05
T6717448059030068309,Ballybay Central,20134013,2015-12-01
T7166976959702184745,Légion d'Honneur Ireland,20157357,2017-03-22
T7491991097425449052,Min A Ghabhann N S,20115265,2015-11-02
T6899491950769541726,Saint Philips Church - Milltown.,20003104,2017-04-04
T6030307841018111334,Enclude Company Limited by Guarantee,20064006,2018-01-29
