Appt,Name,Charity,Registered Number,Date
A1,T574044153357145692,St. Joseph's Girls National School,20112073,2015-12-07
A2,T1002181456187579161,Irish Scouting Fellowship,20080846,2013-04-21
A3,T2959455975952483493,MILLTOWNPASS COMMUNITY ACTION GROUP,20143169,2003-06-09
A4,T6856534224263174069,Enable Ireland Sandymount School,20139711,2015-11-01
A5,T2926234218777346454,Legionaries Of Christ,20008420,2012-07-01
A6,T4339828030601765913,Rooskey Development and Social Inclusion Group Ltd,20061364,2015-12-22
A7,T8571332864473922129,Sn Muine Mhea,20122416,2011-11-01
A8,T3511777020283033834,Sn N Breandain,20122263,2015-11-01
A9,T8110862368822614812,Cloonacool N S,20134105,2015-12-01
A10,T2334199259831527229,Missionaries Of Charity Of Mother Teresa Of Calcutta,20017446,2011-12-12
A11,T147781883191671925,Vincentian Fathers,20016678,2016-10-18
A12,T7361509409665601547,Ballintrillick Environmental Group Company Limited by Guarantee,20035112,2013-01-31
A13,T3929693831927538889,St. Joseph's National School (Miltown Malbay),20102302,2015-12-09
A14,T1238489387058338138,Irish Radiation Research Society,20035372,2013-09-03
A15,T4439936330474055228,Enactus Ireland,20080075,2015-04-01
A16,T3846479741370583473,A Sense of Cork Mid-Summer Arts Festival Limited,20075514,2012-01-23
A17,T4085632912379001620,Daisyhouse Housing Association Ltd,20024185,2018-08-21
A18,T9205602898962842838,Leave No Trace (Ireland),20082178,2018-07-02
A19,T3494475073931336860,Enactus Ireland,20080075,2014-10-08
A20,T982303773905348949,Ballinlough Youth Café Limited,20078829,2010-08-19
A21,T4057885390477974545,Clonmel Youth Training Enterprises Ltd,20037017,2012-04-17
A22,T16438904511794191,Cloonbonnif N S,20133252,2015-12-01
A23,T8514018310426620498,Offaly County Childcare Committee Limited,20049782,2015-02-05
A24,T8350703834298823610,Ballybay Central,20134013,2015-12-01
A25,T7639888622387927370,Légion d'Honneur Ireland,20157357,2017-03-22
A26,T7817851352796463548,Min A Ghabhann N S,20115265,2015-11-02
A27,T5832547819438655107,Saint Philips Church - Milltown.,20003104,2017-04-04
A28,T4279078016167979345,Enclude Company Limited by Guarantee,20064006,2018-01-29
A29,T8773276411012372301,Cappagh Orthopaedic Hospital Research & Development Foundation,20023201,2019-06-20
A30,T8309301706957488494,Carbery Housing Association Company Limited by Guarantee,20048174,2010-06-15
A31,T1056848806273469526,Daisyhouse Housing Association Ltd,20024185,2019-09-09
A32,T8574219247072581651,Glencree Centre for Peace and Reconciliation,20009823,2017-09-15
A33,T6376635651545512479,Oaklee Housing,20044589,2012-10-30
A34,T1078212586332218404,Carbery Housing Association Company Limited by Guarantee,20048174,2016-04-07
A35,T5060413083597706932,Canteen Ireland,20032180,2014-08-16
A36,T105460278229134973,3 T'S Limited,20054878,2010-11-01
A37,T2440730784423800313,2nd Ray Presbyterian Church- Manorcunningham.,20000561,2014-04-14
A38,T4459786450619785556,Óglaigh Náisiúnta Na hÉireann Cuideachta Faoi Theorainn Ráthaíochta,20044268,2006-02-13
A39,T4433739859823250895,Lehena Enterprises,20152918,2016-07-17
A40,T1911957337633162607,St. Johnston/ Carrigans Resource Group Limited.,20037420,2005-09-08
A41,T1287198315435533143,Dal Riada Language Centre Limited,20032982,2014-03-03
A42,T598396283199116140,Offaly Integrated Local Development Company Limited,20072551,2010-11-23
A43,T9085703707890330544,Sn M An Croi Gan Smal,20122348,2019-12-05
A44,T1085914133118509512,Sn M An Croi Gan Smal,20122348,2015-12-01
A45,T8606453864401787266,Ronald McDonald House Charities (IRL),20037000,2007-10-10
A46,T5425653203071888687,2nd Ray Presbyterian Church- Manorcunningham.,20000561,2001-02-04
A47,T3386481153715690149,Clontibret N S,20132033,2015-11-30
A48,T5584136860014789188,2nd Ray Presbyterian Church- Manorcunningham.,20000561,2014-04-13
A49,T1293188182743366759,Ballinteer Educate Together NS,20082710,2019-12-02
A50,T4148614423452000734,Saint Philomena's National School,20019310,2018-10-04
A51,T3302006300130220274,Canteen Ireland,20032180,2015-01-31
A52,T8285584331132061770,Cloontagh Mixed N S,20128388,2015-11-16
A53,T6952345260089223097,Roscrea Society For The Prevention of Cruelty To Animals,20106911,2016-11-15
A54,T2459555389983749805,Dalkey Community Pre-school Group,20055899,2015-11-04
A55,T8201635538341943424,Oak Language Centres Limited,20032999,2013-05-30
A56,T8201635538341943424,Dal Riada Language Centre Limited,20032982,2013-05-30
A57,T4775490060106005205,Offaly Protestant Orphan Society.,20003319,1989-10-12
A58,T5345656463836002004,Glencree Centre for Peace and Reconciliation,20009823,2015-02-20
A59,T6971432213711121499,Glenbrohane Community Association,20141790,2015-01-01
A60,T8955623794892681580,Ronanstown Community Childcare Centre,20039288,2006-03-15
A61,T3081205364044613194,TU Dublin Foundation,20045807,2017-05-22
A62,T1816441541043041651,Cappoquin Red Bridge Company Limited,20076603,2011-02-03
A63,T6569374756399369558,Legal Aid Board,20012489,2018-09-25
A64,T1285122434889603201,St. Johnston/ Carrigans Resource Group Limited.,20037420,2004-09-08
A65,T655601213386573203,Miscarriage Association Of Ireland,20024420,2004-05-01
A66,T6120816713315024105,Saint Paul's Special School-Beaumont,20013097,2016-01-21
A67,T4765460341985230405,A-Z Children Limited,20053406,2015-03-23
A68,T2410537660032129181,Enfield Development Group,20159030,2016-07-07
A69,T815250519233232908,Missionary Sisters of St Columban (International) CLG,20003630,2017-08-06
A70,T6462212587009697356,Dalystown N S,20137137,2016-01-19
A71,T3458657358033307932,Ballybay Central,20134013,2015-12-01
A72,T3655734088860145097,Capacitar Ireland Limited,20059811,2015-02-14
A73,T3042148562288123890,Ballintleva N S,20133979,2015-11-19
A74,T3860222115475641142,Glenbeigh Forever Young Social Centre,20108120,2017-07-17
A75,T8732151796995186070,Missionary Sisters Servants Of The Holy Spirit-Maynooth,20017316,2013-03-22
A76,T8787542631339294734,Clonmel Resource Centre,20032722,2007-11-22
A77,T962563882473116372,Milltown Community Care Association,20026219,2000-11-01
A78,T7776252420345549863,Clonown N S,20133641,2015-12-10
A79,T197456118810963433,Milltown N S,20109523,2015-12-01
A80,T179679435368162289,Ballintubber Community Playground Company Limited by Guarantee,20162917,2017-06-19
A81,T7516530904905045922,Dalystown N S,20137137,2016-01-19
A82,T2790841963939351258,Cloonfad N S,20133535,2016-11-01
A83,T4946455791486183148,Cystinosis Foundation Ireland Limited,20053796,2003-06-06
A84,T2201213666234740153,Sn Muine Mhea,20122416,2011-11-01
