voyage,start,end,ship,route
v1,2020-04-28 15:00,2020-04-28 16:00,Opaline,Out1
v2,2020-04-28 15:20,2020-04-28 16:20,Epsilon,Out2
v3,2020-04-28 15:00,2020-04-28 16:00,SeaTruck Power,In1
v4,2020-04-28 15:00,2020-04-28 16:00,Stena Adventurer,InSt
v5,2020-04-28 15:10,2020-04-28 16:10,Norbank,In2
v6,2020-04-28 15:15,2020-04-28 16:15,Ulysses,InIf
v7,2020-04-28 19:00,2020-04-28 20:00,SeaTruck Power,Out1
v8,2020-04-28 19:15,2020-04-28 20:15,Stena Adventurer,OutSt
v9,2020-04-28 19:30,2020-04-28 20:30,Norbank,Out2
v10,2020-04-28 20:00,2020-04-28 21:00,Ulysses,OutIf
v11,2020-04-28 21:20,2020-04-28 22:20,WB Yeats,InIf
v12,2020-04-28 21:30,2020-04-28 22:30,Stena Estrid,InSt
v13,2020-04-29 01:00,2020-04-29 02:00,WB Yeats,OutIf
v14,2020-04-29 01:20,2020-04-29 02:20,Stena Estrid,OutSt
v15,2020-04-29 01:30,2020-04-29 02:30,Thun Gratitude,Out4
v16,2020-04-29 02:30,2020-04-29 03:30,Norbank,In1
v17,2020-04-29 03:00,2020-04-29 04:00,SeaTruck Progress,In2
v18,2020-04-29 03:15,2020-04-29 04:15,Stena Adventurer,InSt
v19,2020-04-29 03:30,2020-04-29 04:30,Ulysses,InIf
v20,2020-04-29 07:15,2020-04-29 08:15,Stena Adventurer,OutSt
v21,2020-04-29 07:30,2020-04-29 08:30,SeaTruck Progress,Out2
v22,2020-04-29 07:45,2020-04-29 08:45,SeaTruck Pace,In4
v23,2020-04-29 07:15,2020-04-29 08:15,Clipper Point,In2
v24,2020-04-29 10:15,2020-04-29 11:15,Clipper Pennant,Out3
v25,2020-04-29 09:25,2020-04-29 10:25,WB Yeats,InIf
v26,2020-04-29 10:00,2020-04-29 11:00,Stena Estrid,InSt
v27,2020-04-29 11:45,2020-04-29 12:45,SeaTruck Pace,Out4
v28,2020-04-29 12:15,2020-04-29 13:15,Clipper Point,Out2
v29,2020-04-29 13:30,2020-04-29 14:30,WB Yeats,OutIf
v30,2020-04-29 14:00,2020-04-29 15:00,Stena Estrid,OutSt
v31,2020-04-29 15:00,2020-04-29 16:00,SeaTruck Power,In1
v32,2020-04-29 15:15,2020-04-29 16:15,Stena Adventurer,InSt
v33,2020-04-29 15:30,2020-04-29 16:30,Norbank,In2
v34,2020-04-29 15:45,2020-04-29 16:45,Ulysses,InIf
v35,2020-04-29 19:30,2020-04-29 20:30,SeaTruck Power,Out1
v36,2020-04-29 20:00,2020-04-29 21:00,Stena Adventurer,OutSt
v37,2020-04-29 20:20,2020-04-29 21:20,Ulysses,OutIf
v38,2020-04-29 20:15,2020-04-29 21:15,Norbank,Out2
v39,2020-04-29 21:30,2020-04-29 22:30,WB Yeats,InIf
v40,2020-04-29 22:00,2020-04-29 23:00,Stena Estrid,InSt
v41,2020-04-30 01:00,2020-04-30 02:00,WB Yeats,OutIf
v42,2020-04-30 01:25,2020-04-30 02:25,Stena Estrid,OutSt
v43,2020-04-30 02:30,2020-04-30 03:30,Norbank,In3
v44,2020-04-30 03:00,2020-04-30 04:00,SeaTruck Progress,In1
v45,2020-04-30 03:30,2020-04-30 04:30,Stena Adventurer,InSt
v46,2020-04-30 04:00,2020-04-30 05:00,Ulysses,InIf
v47,2020-04-30 07:00,2020-04-30 08:00,Ulysses,OutIf
v48,2020-04-30 07:45,2020-04-30 08:45,Stena Adventurer,OutSt
v49,2020-04-30 08:10,2020-04-30 09:10,Norbank,Out3
v50,2020-04-30 08:00,2020-04-30 09:00,Clipper Point,In2
v51,2020-04-30 09:00,2020-04-30 10:00,Jork,In3
v52,2020-04-30 09:45,2020-04-30 10:45,WB Yeats,InIf
v53,2020-04-30 10:00,2020-04-30 11:00,SeaTruck Pace,In1
v54,2020-04-30 10:10,2020-04-30 11:10,Epsilon,In4
v55,2020-04-30 10:30,2020-04-30 11:30,Stena Estrid,InSt
v56,2020-04-30 12:00,2020-04-30 13:00,Clipper Point,Out2
v57,2020-04-30 11:20,2020-04-30 12:20,Sixtine,In2
v58,2020-04-30 13:45,2020-04-30 14:45,WB Yeats,OutIf
v59,2020-04-30 14:00,2020-04-30 15:00,Stena Estrid,OutSt
v60,2020-04-30 14:50,2020-04-30 15:50,Epsilon,Out4
